PerNo,yyyy,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,眷屬量,通勤成本,歸屬部門
35,2014,0,1.0,1.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,23.0,5.0,5.0,2.0,6.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,3.0,1.0,1.0,6.0,1.0,5.0,10.0,1.0,5.0,5.0,0.0,0.0,2.0,7.0,8126.0
39,2014,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,5.0,1.0,0.0,0.0,7.0,2.0,6.0,0.0,0.0,2.0,0.0,4.0,4.0,3.0,2.0,12.0,1.0,7.0,6.0,1.0,1.0,3.0,8.0,20062.0
40,2014,0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,5.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,4.0,8.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,8.0,8145.0
44,2014,0,1.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,15.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,4.0,12.0,1.0,7.0,7.0,0.0,1.0,2.0,8.0,13147.0
45,2014,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,1.0,2.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,4.0,0.0,3.0,10.0,8.0,4.0,5.0,2.0,3.0,3.0,0.0,0.0,0.0,8.0,14077.0
55,2014,0,1.0,1.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,1.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,8.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,4.0,11.0,1.0,5.0,5.0,0.0,0.0,1.0,9.0,16070.0
56,2014,0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,3.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,6.0,10.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,2.0,8.0,1.0,5.0,4.0,2.0,1.0,0.0,8.0,2180.0
57,2014,0,1.0,1.0,2.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,5.0,5.0,6.0,0.0,3.0,27.0,1.0,0.0,3.0,6.0,6.0,0.0,0.0,1.0,0.0,1.0,7.0,3.0,2.0,11.0,1.0,4.0,2.0,4.0,1.0,2.0,8.0,16001.0
58,2014,0,0.0,2.0,4.0,18.0,4.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,11.0,1.0,6.0,6.0,1.0,1.0,0.0,8.0,18002.0
59,2014,0,1.0,1.0,7.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,13.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,2.0,0.0,9.0,5.0,1.0,5.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,11.0,13065.0
61,2014,0,1.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,5.0,1.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,12.0,1.0,7.0,6.0,3.0,1.0,1.0,9.0,8139.0
62,2014,0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,5.0,6.0,1.0,0.0,1.0,10.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,7.0,4.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,8.0,8157.0
65,2014,0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,1.0,5.0,3.0,0.0,10.0,12.0,0.0,1.0,1.0,3.0,7.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0,7.0,1.0,2.0,2.0,0.0,0.0,1.0,8.0,8194.0
68,2014,0,1.0,1.0,4.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,2.0,5.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,2.0,7.0,1.0,3.0,1.0,4.0,1.0,0.0,9.0,17112.0
69,2014,0,1.0,1.0,3.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,4.0,6.0,0.0,0.0,3.0,0.0,5.0,7.0,5.0,5.0,11.0,1.0,6.0,6.0,0.0,0.0,1.0,8.0,14053.0
70,2014,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,4.0,6.0,0.0,0.0,2.0,5.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,3.0,0.0,2.0,1.0,5.0,2.0,13.0,1.0,7.0,7.0,1.0,2.0,1.0,8.0,14067.0
71,2014,0,1.0,1.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,2.0,1.0,7.0,5.0,9.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,8.0,4045.0
72,2014,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,6.0,1.0,0.0,1.0,13.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,6.0,14067.0
78,2014,0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,1.0,5.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,6.0,10.0,0.0,0.0,1.0,0.0,2.0,10.0,2.0,3.0,6.0,2.0,3.0,3.0,0.0,0.0,0.0,8.0,8162.0
80,2014,0,1.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,4.0,0.0,5.0,10.0,7.0,2.0,7.0,1.0,4.0,2.0,4.0,1.0,1.0,8.0,8038.0
85,2014,0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,14.0,22.0,2.0,0.0,3.0,1.0,6.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,4.0,6.0,1.0,2.0,2.0,0.0,0.0,2.0,8.0,13168.0
87,2014,0,0.0,1.0,2.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,5.0,5.0,6.0,2.0,0.0,6.0,5.0,0.0,1.0,1.0,2.0,7.0,0.0,0.0,2.0,0.0,1.0,7.0,1.0,5.0,11.0,2.0,6.0,3.0,6.0,3.0,1.0,8.0,17144.0
96,2014,0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0,6.0,4.0,0.0,5.0,3.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2197.0
102,2014,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,1.0,13.0,6.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,2.0,9.0,0.0,0.0,3.0,1.0,3.0,1.0,10.0,5.0,6.0,1.0,2.0,2.0,0.0,0.0,1.0,8.0,14077.0
111,2014,0,1.0,2.0,2.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.0,6.0,0.0,1.0,2.0,10.0,2.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,1.0,4.0,4.0,10.0,4.0,12.0,2.0,7.0,7.0,0.0,0.0,0.0,8.0,13087.0
112,2014,0,1.0,1.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,2.0,6.0,2.0,0.0,10.0,48.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,6.0,0.0,3.0,7.0,1.0,4.0,10.0,1.0,5.0,5.0,1.0,1.0,2.0,8.0,8142.0
118,2014,0,0.0,2.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,0.0,4.0,1.0,1.0,4.0,9.0,1.0,4.0,2.0,4.0,2.0,2.0,6.0,20054.0
121,2014,0,0.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,3.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,2.0,0.0,2.0,5.0,8.0,2.0,5.0,1.0,2.0,1.0,3.0,1.0,0.0,8.0,14077.0
123,2014,0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,3.0,9.0,1.0,0.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,5.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,9.0,2197.0
126,2014,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,3.0,7.0,0.0,0.0,2.0,0.0,3.0,4.0,3.0,2.0,12.0,1.0,7.0,7.0,0.0,0.0,2.0,8.0,20019.0
138,2014,0,1.0,1.0,3.0,14.0,6.0,0.0,0.0,0.0,1.0,0.0,23.0,2.0,1.0,2.0,6.0,0.0,0.0,1.0,26.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,5.0,9.0,1.0,4.0,3.0,3.0,1.0,3.0,6.0,14067.0
140,2014,0,0.0,2.0,7.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,7.0,1.0,4.0,4.0,1.0,1.0,1.0,8.0,19036.0
143,2014,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,5.0,0.0,6.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,8.0,20071.0
144,2014,0,1.0,1.0,4.0,20.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,8.0,2.0,7.0,1.0,4.0,4.0,0.0,0.0,0.0,8.0,20054.0
146,2014,0,0.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,2.0,6.0,0.0,0.0,1.0,11.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,10.0,10.0,2.0,7.0,1.0,4.0,4.0,0.0,0.0,1.0,8.0,8157.0
152,2014,0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,1.0,0.0,6.0,1.0,2.0,4.0,20.0,3.0,0.0,2.0,3.0,8.0,0.0,0.0,2.0,1.0,3.0,1.0,7.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,14.0,13191.0
153,2014,0,0.0,2.0,7.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,11.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,5.0,9.0,0.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,10.0,20071.0
157,2014,0,1.0,2.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,1.0,6.0,3.0,0.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,1.0,7.0,8.0,4.0,10.0,1.0,6.0,5.0,1.0,1.0,1.0,8.0,2185.0
158,2014,0,1.0,1.0,3.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,22.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,3.0,0.0,3.0,6.0,1.0,4.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,8.0,20089.0
162,2014,0,0.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,5.0,1.0,11.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,9.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,9.0,14195.0
163,2014,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,2.0,1.0,6.0,0.0,0.0,1.0,5.0,1.0,0.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,2.0,7.0,1.0,2.0,2.0,0.0,0.0,2.0,8.0,14040.0
165,2014,0,0.0,1.0,4.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,2.0,5.0,1.0,6.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,6.0,9.0,0.0,0.0,1.0,1.0,1.0,10.0,8.0,4.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,17108.0
167,2014,0,1.0,1.0,4.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,0.0,6.0,0.0,0.0,3.0,12.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,3.0,0.0,3.0,10.0,4.0,4.0,6.0,1.0,3.0,2.0,1.0,0.0,2.0,8.0,20208.0
169,2014,0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,2.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,8.0,1.0,4.0,3.0,2.0,1.0,1.0,8.0,2197.0
170,2014,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,10.0,4.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,10.0,14048.0
171,2014,0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,4.0,1.0,0.0,6.0,0.0,0.0,4.0,14.0,1.0,1.0,1.0,4.0,6.0,0.0,0.0,3.0,0.0,2.0,10.0,1.0,5.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,8.0,2058.0
173,2014,0,1.0,1.0,3.0,13.0,6.0,0.0,0.0,1.0,0.0,0.0,22.0,2.0,1.0,1.0,6.0,0.0,0.0,5.0,11.0,3.0,0.0,1.0,5.0,6.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,4.0,7.0,1.0,3.0,3.0,0.0,1.0,1.0,8.0,13049.0
177,2014,0,1.0,1.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,5.0,3.0,0.0,1.0,20.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,2.0,0.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0,16178.0
183,2014,0,0.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,6.0,1.0,0.0,2.0,1.0,9.0,0.0,0.0,1.0,0.0,5.0,2.0,4.0,2.0,11.0,1.0,6.0,3.0,5.0,2.0,1.0,9.0,14040.0
186,2014,0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,1.0,6.0,3.0,0.0,1.0,12.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,10.0,10.0,4.0,6.0,1.0,3.0,3.0,0.0,0.0,2.0,12.0,8157.0
194,2014,0,1.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,4.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,10.0,4.0,2.0,11.0,1.0,7.0,7.0,0.0,1.0,2.0,8.0,13065.0
195,2014,0,1.0,1.0,4.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,5.0,9.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,10.0,1.0,6.0,6.0,0.0,0.0,3.0,8.0,18002.0
199,2014,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,6.0,1.0,3.0,1.0,3.0,1.0,1.0,8.0,20069.0
203,2014,0,1.0,1.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,5.0,1.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,2.0,8.0,1.0,3.0,3.0,1.0,1.0,2.0,8.0,16086.0
204,2014,0,1.0,1.0,7.0,19.0,1.0,0.0,1.0,0.0,0.0,1.0,23.0,3.0,5.0,5.0,6.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,6.0,0.0,0.0,1.0,0.0,1.0,5.0,7.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,8.0,19166.0
210,2014,0,0.0,1.0,7.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,3.0,3.0,15.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,3.0,0.0,1.0,5.0,8.0,2.0,8.0,1.0,5.0,4.0,1.0,1.0,0.0,8.0,14077.0
212,2014,0,0.0,2.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,5.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,9.0,9.0,5.0,8.0,2.0,4.0,3.0,1.0,1.0,0.0,8.0,8107.0
214,2014,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,9.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,20069.0
215,2014,0,0.0,1.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,2.0,6.0,0.0,0.0,2.0,17.0,1.0,0.0,2.0,4.0,7.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,5.0,12.0,1.0,5.0,5.0,1.0,1.0,2.0,8.0,13049.0
220,2014,0,1.0,1.0,4.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,6.0,6.0,0.0,0.0,2.0,0.0,3.0,6.0,10.0,5.0,7.0,1.0,3.0,2.0,1.0,1.0,2.0,8.0,13151.0
228,2014,0,1.0,1.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0,2.0,12.0,1.0,6.0,6.0,0.0,1.0,2.0,8.0,14048.0
229,2014,0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,25.0,1.0,0.0,2.0,6.0,7.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,4.0,6.0,1.0,2.0,2.0,0.0,0.0,1.0,9.0,13151.0
230,2014,0,0.0,1.0,7.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,4.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,7.0,0.0,0.0,1.0,1.0,2.0,5.0,8.0,2.0,5.0,1.0,3.0,1.0,2.0,2.0,3.0,6.0,17041.0
232,2014,0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,1.0,1.0,6.0,1.0,0.0,4.0,6.0,0.0,0.0,4.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,10.0,5.0,7.0,1.0,3.0,3.0,0.0,0.0,2.0,8.0,8142.0
235,2014,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,1.0,1.0,22.0,2.0,1.0,5.0,6.0,2.0,0.0,1.0,23.0,2.0,0.0,2.0,4.0,6.0,0.0,0.0,4.0,0.0,3.0,1.0,3.0,4.0,6.0,1.0,3.0,3.0,0.0,0.0,1.0,8.0,14040.0
