PerNo,yyyy,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,眷屬量,通勤成本,歸屬部門
819,2014,1,1.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,5.0,2.0,6.0,1.0,0.0,3.0,8.0,3.0,0.0,2.0,3.0,9.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,8.0,14053.0
828,2014,1,1.0,1.0,4.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,2.0,8.0,7.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,1.0,1.0,2.0,1.0,9.0,4.0,6.0,2.0,2.0,1.0,3.0,2.0,0.0,8.0,18111.0
848,2014,1,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,3.0,5.0,1.0,0.0,2.0,4.0,6.0,0.0,0.0,2.0,0.0,2.0,6.0,2.0,2.0,9.0,1.0,5.0,5.0,0.0,0.0,3.0,8.0,2180.0
861,2014,1,0.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,9.0,1.0,4.0,3.0,1.0,1.0,2.0,8.0,2197.0
868,2014,1,1.0,1.0,2.0,19.0,4.0,0.0,1.0,0.0,0.0,0.0,23.0,2.0,1.0,1.0,6.0,1.0,0.0,1.0,40.0,2.0,0.0,4.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,5.0,11.0,1.0,6.0,5.0,1.0,2.0,2.0,8.0,19138.0
892,2014,1,1.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,3.0,8.0,3.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,12.0,19135.0
917,2014,1,1.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,4.0,6.0,0.0,0.0,3.0,2.0,1.0,0.0,6.0,2.0,8.0,0.0,0.0,2.0,0.0,4.0,2.0,3.0,3.0,12.0,1.0,6.0,5.0,2.0,1.0,2.0,8.0,19166.0
998,2014,1,1.0,1.0,4.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,1.0,5.0,3.0,5.0,1.0,0.0,1.0,6.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,3.0,12.0,1.0,7.0,3.0,7.0,2.0,1.0,8.0,16178.0
1055,2014,1,1.0,1.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,8.0,6.0,3.0,0.0,1.0,10.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,2.0,5.0,7.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,10011.0
1142,2014,1,1.0,1.0,3.0,14.0,6.0,0.0,0.0,1.0,0.0,1.0,23.0,3.0,1.0,3.0,6.0,0.0,0.0,4.0,13.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0,14048.0
1169,2014,1,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,3.0,2.0,6.0,2.0,4.0,4.0,1.0,0.0,0.0,4.0,3.0,6.0,0.0,0.0,2.0,1.0,1.0,2.0,7.0,5.0,9.0,1.0,3.0,3.0,1.0,1.0,0.0,6.0,2197.0
1210,2014,1,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,6.0,2.0,0.0,1.0,27.0,2.0,1.0,1.0,4.0,6.0,0.0,0.0,2.0,0.0,2.0,10.0,8.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,0.0,8.0,13191.0
1248,2014,1,1.0,1.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,5.0,0.0,6.0,7.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,4125.0
1291,2014,1,1.0,1.0,7.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,9.0,3.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,8.0,20069.0
1305,2014,1,1.0,1.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,5.0,2.0,5.0,0.0,0.0,2.0,42.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,10.0,3.0,2.0,9.0,2.0,5.0,5.0,0.0,0.0,0.0,8.0,16178.0
1337,2014,1,0.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,2.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,10.0,1.0,6.0,5.0,2.0,2.0,0.0,8.0,8012.0
1389,2014,1,1.0,1.0,7.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,3.0,12.0,0.0,0.0,1.0,2.0,6.0,5.0,7.0,1.0,0.0,0.0,9.0,6.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,20069.0
1442,2014,1,1.0,1.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,8.0,10008.0
1451,2014,1,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,22.0,2.0,5.0,0.0,6.0,4.0,0.0,2.0,7.0,1.0,0.0,3.0,4.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,8.0,1.0,4.0,4.0,1.0,1.0,2.0,8.0,2058.0
1460,2014,1,1.0,1.0,3.0,19.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,2.0,0.0,6.0,1.0,0.0,1.0,12.0,2.0,0.0,1.0,2.0,6.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,3.0,3.0,0.0,0.0,0.0,8.0,19035.0
1577,2014,1,1.0,1.0,7.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,4.0,5.0,6.0,6.0,0.0,0.0,7.0,3.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,8.0,13034.0
1594,2014,1,0.0,1.0,4.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,3.0,5.0,5.0,6.0,3.0,0.0,2.0,9.0,0.0,0.0,3.0,3.0,7.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,6.0,2.0,3.0,3.0,0.0,1.0,0.0,12.0,14077.0
1603,2014,1,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,5.0,0.0,6.0,0.0,0.0,1.0,13.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,2.0,0.0,2.0,1.0,7.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,20089.0
1686,2014,1,1.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,7.0,7.0,6.0,2.0,0.0,3.0,5.0,6.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,14067.0
1700,2014,1,0.0,1.0,3.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,6.0,0.0,1.0,1.0,13.0,0.0,0.0,2.0,1.0,8.0,1.0,3.0,1.0,1.0,0.0,6.0,10.0,4.0,7.0,1.0,3.0,1.0,3.0,2.0,3.0,8.0,20019.0
1717,2014,1,1.0,1.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,1.0,6.0,2.0,0.0,2.0,5.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,2.0,0.0,2.0,5.0,10.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,8.0,4045.0
1718,2014,1,1.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,4.0,5.0,2.0,6.0,0.0,0.0,4.0,8.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,5.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,9.0,13049.0
1740,2014,1,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,8.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,14195.0
1759,2014,1,1.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,8.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,6170.0
1853,2014,1,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,1.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,12.0,1.0,6.0,6.0,1.0,0.0,0.0,8.0,4125.0
1919,2014,1,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,10.0,7.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,20069.0
1961,2014,1,1.0,1.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,4.0,7.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,6.0,10008.0
2014,2014,1,1.0,1.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,10.0,10.0,5.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,6024.0
2026,2014,1,0.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,2.0,5.0,0.0,6.0,4.0,1.0,4.0,25.0,1.0,1.0,1.0,4.0,6.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,4.0,7.0,1.0,4.0,3.0,1.0,1.0,2.0,8.0,14048.0
2093,2014,1,0.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,9.0,2.0,4.0,2.0,4.0,1.0,0.0,8.0,20069.0
2138,2014,1,0.0,2.0,5.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0,2.0,8.0,1.0,5.0,5.0,0.0,1.0,1.0,8.0,13087.0
2165,2014,1,1.0,1.0,3.0,10.0,4.0,0.0,0.0,1.0,1.0,1.0,22.0,1.0,5.0,2.0,6.0,0.0,0.0,1.0,17.0,3.0,0.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,5.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,8.0,10011.0
2229,2014,1,1.0,1.0,7.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,8.0,9.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,20071.0
2256,2014,1,1.0,1.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,2.0,1.0,0.0,0.0,10.0,6.0,5.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,9.0,10008.0
2279,2014,1,1.0,1.0,7.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,2.0,5.0,0.0,6.0,2.0,0.0,10.0,10.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,3.0,5.0,5.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,19138.0
2344,2014,1,1.0,1.0,3.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,8.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,4.0,6.0,1.0,2.0,1.0,2.0,1.0,0.0,8.0,6167.0
2435,2014,1,0.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,5.0,1.0,5.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,8.0,5.0,6.0,2.0,3.0,3.0,1.0,1.0,0.0,8.0,8145.0
2453,2014,1,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,4.0,6.0,0.0,2.0,1.0,13.0,1.0,0.0,3.0,2.0,6.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,8.0,1.0,3.0,2.0,2.0,1.0,2.0,8.0,2197.0
2484,2014,1,1.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,1.0,1.0,6.0,0.0,1.0,4.0,4.0,3.0,0.0,1.0,4.0,8.0,0.0,0.0,1.0,1.0,2.0,2.0,10.0,5.0,6.0,1.0,2.0,2.0,0.0,0.0,3.0,8.0,2197.0
2585,2014,1,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,3.0,12.0,1.0,0.0,6.0,5.0,6.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,3.0,10.0,1.0,4.0,4.0,0.0,1.0,1.0,8.0,14048.0
2605,2014,1,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,1.0,1.0,5.0,1.0,0.0,2.0,13.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,4.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,9.0,8145.0
2622,2014,1,1.0,1.0,3.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,5.0,8.0,1.0,4.0,1.0,6.0,1.0,2.0,9.0,10155.0
2654,2014,1,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,5.0,6.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,7.0,12.0,11.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,3.0,12.0,1.0,7.0,7.0,0.0,0.0,1.0,9.0,13034.0
2684,2014,1,1.0,1.0,3.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,35.0,1.0,1.0,1.0,4.0,6.0,0.0,0.0,4.0,1.0,14.0,2.0,1.0,4.0,9.0,1.0,3.0,2.0,2.0,1.0,2.0,9.0,13065.0
2695,2014,1,1.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,6170.0
2732,2014,1,0.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,4.0,5.0,8.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,14195.0
2751,2014,1,0.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,5.0,2.0,6.0,0.0,0.0,3.0,4.0,1.0,0.0,1.0,5.0,7.0,0.0,0.0,3.0,0.0,2.0,5.0,1.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,13151.0
2814,2014,1,1.0,1.0,3.0,19.0,4.0,0.0,1.0,0.0,0.0,1.0,22.0,3.0,1.0,2.0,6.0,0.0,0.0,2.0,17.0,4.0,1.0,1.0,2.0,8.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,4.0,6.0,1.0,2.0,2.0,0.0,1.0,1.0,8.0,19166.0
2859,2014,1,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,4.0,1.0,2.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,3.0,1.0,1.0,2.0,10.0,4.0,10.0,1.0,5.0,5.0,0.0,0.0,3.0,8.0,8126.0
2881,2014,1,1.0,1.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.0,6.0,0.0,0.0,3.0,7.0,1.0,0.0,1.0,2.0,6.0,0.0,0.0,1.0,0.0,3.0,2.0,9.0,5.0,7.0,1.0,3.0,2.0,3.0,1.0,1.0,8.0,18025.0
